year,month,PRCP_10,SM_100,RO
2016,2,2.254800034,3.311620483,0.123105
2016,3,15.81999969,3.331625977,6.72974
2016,4,3.590800095,3.17448761,0.29715
2016,5,25.70069885,3.14690094,4.24217
2016,6,10.55100021,3.480149536,6.30807
2016,7,3.879299927,2.910567017,0.197251
2016,8,12.31640015,2.858403015,0.82919
2016,9,12.53300018,3.176083679,0.252153
2016,10,0.458799982,3.267387085,0.050091
2016,11,5.519800186,3.203334656,0.077542
2016,12,12.05139999,3.42931427,1.65272
2017,1,1.664100075,3.426609497,0.209703
2017,2,7.09940033,3.430145874,1.80554
2017,3,8.550099945,3.454963684,0.59996
2017,4,6.557900238,3.203564148,0.129331
2017,5,4.919200134,2.854631653,0.040469
2017,6,15.08880005,2.764703979,0.39903
2017,7,1.316600037,2.383049469,0.0029715
2017,8,25.22149963,2.515074005,14.81505
2017,9,8.96190033,3.105712585,2.79604
2017,10,2.314800072,3.238206177,2.41682
2017,11,2.162299919,3.07008606,0.258662
2017,12,6.109999847,3.415680847,0.135274
